"allergen_code","allergy_category_code","id","allergen_fsn","allergy_category_fsn","preferred_term_en","preferred_term_pt","synonym_1","synonym_2"
"289949002","115668003","187","Cypress pollen (substance)","Biological substance (substance)","Cypress pollen","Pólen de cipreste"," "," "
"1264569004","115668003","188","Cytisus scoparius pollen (substance","Biological substance (substance)","Cytisus scoparius pollen","Pólen de Cytisus scoparius ","Pólen de giesta"," "
"226760005","0","189","Dairy foods (substance)"," ","Dairy foods ","Laticínios","Leite e seus derivados","Leite, queijo e manteiga"
"256297004","115668003","190","Dandelion pollen (substance)","Biological substance (substance)","Dandelion pollen","Pólen de dente de leão"," "," "
"227423000","762766007","191","Dates - food (substance)","Edible substance (substance)","Dates - food","Tâmara"," "," "
"256331002","762766007","192","Dill (substance)","Edible substance (substance)","Dill","Endro","Aneto"," "
"396031000","37877001","193","Dimeticone (substance)","Environmental agent (qualifier value)","Dimethicone","Dimeticone"," "," "
"387293003","37877001","194","Dithranol (substance)","Environmental agent (qualifier value)","Anthralin","Antralina"," "," "
"260154005","115668003","195","Dog dander (substance)","Biological substance (substance)","Dog dander","Partículas de pele de cão","Pelo de cão","Caspa de cão"
"256411002","115668003","196","Dog epithelium (substance)","Biological substance (substance)","Dog epithelium","Epitélio de cão"," "," "
"711075002","115668003","197","Dog serum albumin (substance)","Biological substance (substance)","Dog serum albumin","Albumina de soro de cão"," "," "
"710732007","115668003","198","Douglas fir pollen (substance)","Biological substance (substance)","Douglas fir pollen","Pólen de abeto-de-douglas"," "," "
"63338004","37877001","199","Drug flavoring (product)","Environmental agent (qualifier value)","Drug flavoring","Agente aromatizante"," "," "
"226963000","762766007","200","Duck - meat (substance)","Edible substance (substance)","Duck - meat","Carne de pato"," "," "
"256412009","115668003","201","Duck feathers (substance)","Biological substance (substance)","Duck feathers","Penas de pato"," "," "
"33008008","37877001","202","Dust (substance)","Environmental agent (qualifier value)","Dust","Pó"," "," "
"61789006","37877001","203","Dye (substance)","Environmental agent (qualifier value)","Dye","Tintas para têxteis","Corantes para têxteis"," "
"762766007","0","204","Edible substance (substance)"," ","Edible substance","Substância comestível","Substância comestível"," "
"735246002","762766007","205","Eel (substance)","Edible substance (substance)","Eel","Enguia"," "," "
"303300008","762766007","206","Egg protein (substance)","Edible substance (substance)","Egg protein","Proteína de ovo"," "," "
"256443002","762766007","207","Egg white (substance)","Edible substance (substance)","Egg white","Clara de ovo"," "," "
"256442007","762766007","208","Egg yolk (substance)","Edible substance (substance)","Egg yolk","Gema de ovo"," "," "
"227219006","762766007","209","Eggplant (substance)","Edible substance (substance)","Eggplant","Beringela"," "," "
"102263004","762766007","210","Eggs (edible) (substance)","Edible substance (substance)","Eggs (edible)","Ovos (comestíveis)","Ovo"," "
"472724003","115668003","211","Elaeagnus angustifolia pollen (substance)","Biological substance (substance)","Elaeagnus angustifolia pollen","Pólen de Elaeagnus angustifolia","Pólen de árvore-do-paraíso","Pólen de oliveira-do-paraíso"
"289948005","115668003","212","Elder pollen (substance)","Biological substance (substance)","Elder pollen","Pólen de sabugueiro"," "," "
"256272003","115668003","213","Elm pollen (substance)","Biological substance (substance)","Elm pollen","Pólen de úlmeiro"," "," "
"256294006","115668003","214","English plantain pollen (substance)","Biological substance (substance)","English plantain pollen","Pólen de língua-de-ovelha","Pólen de corrijó","Pólen de acatá"
"710935001","115668003","215","Ephestia kuehniella protein (substance)","Biological substance (substance)","Ephestia kuehniella protein","Proteína de Ephestia kuehniella","Proteína de traça dos cereais"," "
"115589000","37877001","216","Ethanolamine (substance)","Environmental agent (qualifier value)","Ethanolamine","Etanolamina"," "," "
"12510000","115668003","217","Eucalyptus oil (substance)","Biological substance (substance)","Eucalyptus oil","Óleo de eucalipto"," "," "
"260131001","115668003","218","Eucalyptus pollen (substance)","Biological substance (substance)","Eucalyptus pollen","Pólen de eucalipto"," "," "
"1285420004","115668003","219","Eupatorium capillifolium pollen (substance)","Biological substance (substance)","Eupatorium capillifolium pollen","Pólen de Eupatorium capillifolium "," "," "
"260196009","115668003","220","European hornet venom (substance)","Biological substance (substance)","European hornet venom","Veneno de vespa europeia"," "," "
"710712006","115668003","221","False oat grass pollen (substance)","Biological substance (substance)","False oat grass pollen","Pólen de aveia perene","Pólen de Arrhenatherum elatius"," "
"260107006","115668003","222","False ragweed pollen (substance)","Biological substance (substance)","False ragweed pollen","Pólen de falsa ambrósia","Pólen de Ambrosia acanthicarpa"," "
"422304003","0","223","Family Poaceae (organism)"," ","Poaceae","Gramíneas","Gramíneas"," "
"256435007","115668003","224","Feather (substance)","Biological substance (substance)","Feather","Pena","Pluma","Penugem"
"227396003","762766007","225","Fennel (substance)","Edible substance (substance)","Fennel","Funcho","Erva-doce"," "
"227244003","762766007","226","Fenugreek (substance)","Edible substance (substance)","Fenugreek","Feno-grego"," "," "
"711076001","115668003","227","Ferret epithelium (substance)","Biological substance (substance)","Ferret epithelium","Epitélio de furão"," "," "
"1285305006","115668003","228","Ficus benjamina pollen (substance)","Biological substance (substance)","Ficus benjamina pollen","Pólen de Ficus benjamina ","Pólen de figueira-benjamim"," "
"227425007","762766007","229","Figs (substance)","Edible substance (substance)","Figs","Figo","Figos"," "
"711065000","115668003","230","Finch feathers (substance)","Biological substance (substance)","Finch feathers","Penas de tentilhões"," "," "
"260116005","115668003","231","Firebush pollen (substance)","Biological substance (substance)","Firebush pollen","Pólen de hamamelis"," "," "
"90580008","0","232","Fish (organism)"," ","Fish","Peixe"," "," "
"735971005","762766007","233","Fish (substance)","Edible substance (substance)","Fish","Peixe"," "," "
"406774009","115668003","234","Fish derived omega 3 fatty acid (substance)","Biological substance (substance)","Fish derived omega 3 fatty acid","Ácido gordo ómega 3 derivado de peixe","Ácidos gosrdos ómega 3"," "
"735341005","115668003","235","Fish oil (substance)","Biological substance (substance)","Fish oil","Óleo de peixe"," "," "
"425933003","115668003","236","Flax dust (substance)","Biological substance (substance)","Flax dust","Pó de linho"," "," "
"63766005","762766007","237","Flour (substance)","Edible substance (substance)","Flour","Farinha"," "," "
